[2026-04-26 02:48:13.716] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":86}
[2026-04-26 02:48:13.717] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":100}
[2026-04-26 02:48:13.718] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6}
[2026-04-26 02:48:14.229] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":1}
[2026-04-26 02:48:14.241] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":2}
[2026-04-26 02:48:14.272] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":3}
[2026-04-26 02:48:14.283] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":4}
[2026-04-26 02:48:14.295] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":5}
[2026-04-26 02:48:14.333] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":6}
[2026-04-26 02:48:14.345] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":7}
[2026-04-26 02:48:14.367] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":8}
[2026-04-26 02:48:14.480] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":9}
[2026-04-26 02:48:14.482] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":10}
[2026-04-26 02:48:14.482] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":12}
[2026-04-26 02:48:14.518] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":13}
[2026-04-26 02:48:14.532] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":14}
[2026-04-26 02:48:14.541] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":15}
[2026-04-26 02:48:14.555] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":16}
[2026-04-26 02:48:14.564] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":17}
[2026-04-26 02:48:14.575] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":18}
[2026-04-26 02:48:14.606] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":19}
[2026-04-26 02:48:14.616] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":20}
[2026-04-26 02:48:14.628] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":21}
[2026-04-26 02:48:14.638] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":5,"total":6,"progress":22}
